opcode;iset;family;annotate;issimd;type;ineltsz;nb_oprns;oprn_1;oprn_2;oprn_3;oprn_4;nb_impl_oprns;
MOVSD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM64b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVSD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM64b_WRITE;;;0;
MOVSS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM32b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVSS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM32b_WRITE;;;0;
MOVAPD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVAPD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVAPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
VMOVAPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVAPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM256b_READ;OPRN_REGISTER_YMM_WRITE;;;0;
VMOVAPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_YMM_READ;OPRN_MEMORY_MEM256b_WRITE;;;0;
MOVAPS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVAPS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVAPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
VMOVAPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVAPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM256b_READ;OPRN_REGISTER_YMM_WRITE;;;0;
VMOVAPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_YMM_READ;OPRN_MEMORY_MEM256b_WRITE;;;0;
MOVUPD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVUPD;SSE2;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVUPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
VMOVUPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVUPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_MEMORY_MEM256b_READ;OPRN_REGISTER_YMM_WRITE;;;0;
VMOVUPD;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_64b;2;OPRN_REGISTER_YMM_READ;OPRN_MEMORY_MEM256b_WRITE;;;0;
MOVUPS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
MOVUPS;SSE;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVUPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM128b_READ;OPRN_REGISTER_XMM_WRITE;;;0;
VMOVUPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_MEMORY_MEM128b_WRITE;;;0;
VMOVUPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_MEMORY_MEM256b_READ;OPRN_REGISTER_YMM_WRITE;;;0;
VMOVUPS;AVX;FM_MOV;A_NA;S_YES;T_FP;DATASZ_32b;2;OPRN_REGISTER_YMM_READ;OPRN_MEMORY_MEM256b_WRITE;;;0;
